"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
22,60039.833769223,"Successful completion",0.00112837742113331,0.980033803034235,0.481526470470804,1.86740302066559,0.0623130968081007,0.0221924235662488,3.32400318566763e-05,0.00226346829559046,2.49689556639974
23,74408.908079308,"Successful completion",0.000101032747966648,0.709545482939171,0.603497724916245,2.24969561185273,0.983041002450016,0.0133004509954578,2.6777042355199e-05,0.00238836198297009,2.47191956144384
24,61939.7408781583,"Successful completion",6.23162001956798e-06,0.101000745369056,0.924624827859374,3.39227032520243,0.0628360753923063,0.0396098963037617,3.34553437535601e-05,0.00225077720619306,2.49993834734603
25,75476.1142942624,"Successful completion",0.00187247837532811,0.939865280973891,0.935942533270369,3.56089807362372,0.0305714152377596,0.0806551161290095,3.60916392165823e-05,0.0022125762945886,2.49449152357651
26,82866.6451216503,"Successful completion",8.27673785201035e-09,0.0159121156234482,0.998634663030173,3.37924989435969,0.0570879837805245,0.19999999920554,3.42271080377587e-05,0.00223347790094042,2.65084127949915
27,135018.884545036,"Successful completion",0.00848893450016919,0.979716133764578,0.881339563025797,2.47962244627614,0.00408596587035371,0.170282179270503,4.46741330229624e-05,0.00209269648775341,2.49843812512067
28,57187.7251008907,"Successful completion",0.000838827885409957,0.878345991764772,0.683389390072469,2.79998817557711,0.0768185111785212,0.0196878952848528,3.21091787264273e-05,0.00227736491589323,2.49664947969048
29,90475.007152067,"Successful completion",0.0028802260033618,0.643342740524917,0.733765572254477,2.81152155570631,0.00794257254151944,0.121459486243533,4.16492442508333e-05,0.00209979957806833,2.49796312629038
30,307810.868838631,"Successful completion",0.00018408588950017,0.826520234411269,0.0179500598708946,5.30641705715871,0.0492808387564705,0.123864009795547,3.36122012929461e-05,0.00224541684271181,2.48658602604143
31,287891.689316275,"Successful completion",8.17425862980275e-05,0.998503089009874,0.985061737184216,125.232109743212,0.059408400986252,0.0472930271063801,3.31139923986468e-05,0.002249407634973,2.49367944599178
32,69553.7437361036,"Successful completion",0.000177051932593225,0.970837288897694,0.667986546532651,2.61237059655049,0.506100268831215,0.0128290522745742,2.72552491231682e-05,0.00237616286214916,2.48543998844264
33,55101.8522126302,"Successful completion",0.000788201850782459,0.999999999776781,0.999999543568073,3.76679578914663,0.0807093789160356,0.0165534600319543,3.2115389666293e-05,0.00227507402747089,2.49699395617437
