"Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
59976.1804701163,"Successful completion",0.000992136501774837,0.998780408074261,0.994903309331372,8.39766232926901,0.07062298778841,0.0186347760435797,3.26254146937909e-05,0.00226696103955166,2
56340.7182894606,"Successful completion",0.000859930948451032,0.999777443818535,0.996378921874184,4.99569367033765,0.075568841978865,0.0182294939190521,3.22868315564526e-05,0.00227543616634187,2.25
55008.735752261,"Successful completion",0.000788945290847561,0.974799379714298,0.993751751199037,3.77742501942083,0.0804238161784662,0.0182706464674754,3.19619375247326e-05,0.00228006383623309,2.5
54329.8565963373,"Successful completion",0.000770020875407535,0.998895888714279,0.999749623426479,3.10040958365124,0.0817864799307673,0.0185775408226159,3.19279606464041e-05,0.00228295722136879,2.75
54003.6548814015,"Successful completion",0.000714746949432793,0.908435819518334,0.999999996242934,2.63712080127131,0.0824322948805826,0.0175072210922442,3.1959142548089e-05,0.00227631468673584,3
