"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0","group"
14,80206.4319862311,"Successful completion",0.00168406295533797,0.99989802957275,0.496962807821894,2.22281724612017,0.0204835701324204,0.0656691698602824,3.81543322186754e-05,0.0021423332942079,2.49697347144026,"seed123_n300"
15,58831.1585733212,"Successful completion",0.00054498078952641,0.278382642038117,0.808317021055016,3.09559820287486,0.0872577318473186,0.0282654036429057,3.15624937829339e-05,0.00229004674551529,2.49604897697994,"seed123_n300"
16,76568.3788609273,"Successful completion",5.72915550955037e-07,0.127510187166718,0.999999999420652,3.56818943423734,0.995702688045175,0.0247469731823161,2.71035567171695e-05,0.00237399944276208,2.48670952698944,"seed123_n300"
17,55822.1640989066,"Successful completion",0.000855676584813774,0.980873311065101,0.955316250098572,3.63401069976408,0.080704828579255,0.0215556004133518,3.1666212203076e-05,0.00229146228056175,2.49609428826738,"seed123_n300"
18,59731.9427236224,"Successful completion",1.83062881162197e-05,0.14232750787968,0.999984258774981,3.6547776426481,0.0825638124701729,0.03029785163972,3.17811367303449e-05,0.00229457122044984,2.49814016063246,"seed123_n300"
19,57057.5007437895,"Successful completion",0.000853314995867291,0.954080721206226,0.696942651276708,2.8317370715454,0.0736900556071602,0.0180442948316996,3.22882726899632e-05,0.00227754856029639,2.49702420776615,"seed123_n300"
20,83633.0470834912,"Successful completion",0.000360263208617917,0.539718676792165,0.994559425439487,3.50250059833549,0.0246237921461191,0.012441945031628,3.73832401156566e-05,0.00220095151110725,2.49937599123638,"seed123_n300"
21,396870.963860053,"Successful completion",0.00993661770215011,0.0317493916566279,0.999988302450826,2.06786371050103,0.0568090736869332,0.0670375048992648,3.95363200407631e-05,0.00221177604877485,2.52046664594467,"seed123_n300"
22,95335.7559441497,"Successful completion",0.00430868685268331,0.996282580627264,0.523381569374371,1.65232980796304,0.00787982086423354,0.109380801945967,4.09330579542409e-05,0.00215104928467629,2.49806152646882,"seed123_n300"
23,56719.4533770188,"Successful completion",0.00066338196124087,0.941141798509512,0.930829424335186,3.78287438724185,0.0813105555386238,0.0212688869898675,3.16943836220578e-05,0.00228300408234439,2.49613592227633,"seed123_n300"
24,200148.358585606,"Successful completion",0.00978884134255198,0.0713432517517579,0.652536018311347,1.42450608571187,0.00988504956857823,0.199596823534846,4.40981578155393e-05,0.00212227932065503,2.50198128291165,"seed123_n300"
25,55317.9258323498,"Successful completion",0.000578562816844981,0.517434124133195,0.982891056209323,3.70951509224796,0.0824187666552606,0.0191514686883487,3.1940213232561e-05,0.00228093904259306,2.49681652761571,"seed123_n300"
26,58295.6721616521,"Successful completion",0.00075533232880598,0.562378570090057,0.609608637246439,2.49647959264488,0.0616857388326363,0.019702208839972,3.33107263480557e-05,0.00224785792662163,2.49750190682934,"seed123_n300"
27,56667.584243393,"Successful completion",0.000826090108024879,0.995974069952558,0.736949774638158,3.00178000136208,0.0756372434440392,0.0179038338044243,3.22762088286308e-05,0.00227317619969564,2.49695442605355,"seed123_n300"
28,136466.916972139,"Successful completion",0.00848215989569971,0.976791273628142,0.81659890031005,2.28396863709595,0.00549069615503485,0.145987877942758,4.45640592600056e-05,0.0020900749493066,2.49820121745974,"seed123_n300"
29,77055.7584559874,"Successful completion",0.00161809301849986,0.957709837614032,0.458525020659488,1.96495348895384,0.0190084832846386,0.0394212386182718,3.82351123832192e-05,0.00216449931092473,2.49832226184084,"seed123_n300"
30,66117.3968753454,"Successful completion",0.00130154569887313,0.304660675904049,0.991387978897132,3.51799506341944,0.0315806787790598,0.0381773854660416,3.68066998018003e-05,0.00219185943939988,2.49797518357686,"seed123_n300"
31,93748.3554423712,"Successful completion",0.0033101340584613,0.862571991943349,0.843289524202757,3.10444498852693,0.00793768282125236,0.168691772277505,4.13805151446274e-05,0.00211668929873872,2.49704053540523,"seed123_n300"
32,95564.8354199111,"Successful completion",0.00342317805124281,0.984772087759402,0.822400861151785,3.04228839480753,0.0071457881939498,0.18765812571664,4.16960597840513e-05,0.00211470382140493,2.49698801222285,"seed123_n300"
33,63058.6672356479,"Successful completion",0.00089367735489272,0.998076833326527,0.428225990175594,1.64315491330927,0.0549896568636871,0.0145250618285284,3.42940574003792e-05,0.00220497635046684,2.49820324638859,"seed123_n300"
34,100302.996456431,"Successful completion",0.00349971451925151,0.512513149381861,0.352828999392349,0.786985407168408,0.00322492718943473,0.191593564682988,4.28055417058722e-05,0.00211680692733839,2.49875670661029,"seed123_n300"
35,59679.0202629148,"Successful completion",0.000688452983421006,0.415181623746065,0.503348527826519,1.9318039367793,0.0657015988036605,0.0216527793901741,3.25694684238164e-05,0.00228041492475878,2.49730007087836,"seed123_n300"
36,72619.8446175658,"Successful completion",0.00190678291083094,0.993039816267169,0.352200631771023,1.08112615580401,0.0303372287767667,0.0581282693781007,3.64174786162943e-05,0.00220043732223868,2.4960353261273,"seed123_n300"
37,59736.681241848,"Successful completion",0.000300968787750339,0.229587030060958,0.575081352006079,2.29670486806753,0.0761902262317023,0.025801394090779,3.23634415268744e-05,0.00226721480274059,2.49722606276261,"seed123_n300"
38,96266.2587192134,"Successful completion",0.00292279294001257,0.977156360890492,0.9463916452421,3.53271823336505,0.00879486502851113,0.188487506572687,4.09601770102302e-05,0.00212437390743651,2.49627981351589,"seed123_n300"
39,58521.2503396789,"Successful completion",6.44291628666386e-05,0.209398834686092,0.998946459836931,3.74112580561528,0.0590412074246302,0.0251399427494886,3.31562692659289e-05,0.00226260580436998,2.49806135647521,"seed123_n300"
40,98082.9506886617,"Successful completion",0.00346958367834286,0.575726801786347,0.280762137151295,0.319799220194361,0.00592541903819624,0.196826886118759,4.21040074365684e-05,0.00210924722721162,2.49759073444809,"seed123_n300"
41,59021.0940858967,"Successful completion",0.00104922566287149,0.996699869869087,0.778440320024725,3.21979705852914,0.05552319556567,0.0248375759946657,3.45046761260968e-05,0.00222918481616876,2.49689825296191,"seed123_n300"
42,93475.8704494773,"Successful completion",0.00337883625223734,0.793824804991549,0.59338223402213,2.18752064262769,0.00859385728061252,0.158837465954661,4.14811649564945e-05,0.00211018165241226,2.49701732281357,"seed123_n300"
43,57239.812333047,"Successful completion",0.000999668707419045,0.997836420566865,0.807376853191898,3.25206475283704,0.063036174284071,0.0226306415912964,3.33470909277305e-05,0.00223424860961516,2.49679103788423,"seed123_n300"
44,59244.83306174,"Successful completion",0.000348628666968777,0.574938052796385,0.8238141974779,3.21090273540185,0.149934937641389,0.0141068257941094,2.98601781020511e-05,0.00233099944774389,2.49563194529417,"seed123_n300"
45,315530.149497145,"Successful completion",7.21299573611616e-05,0.443770836930586,0.551964186343824,39.9138371547889,0.0572643249658029,0.105610257803114,3.2809762997825e-05,0.00225719002819919,2.48828774471179,"seed123_n300"
46,59161.568213909,"Successful completion",0.000670895459903056,0.943924578524581,0.554785404516838,2.28738761883835,0.0976950749296205,0.0172364721344923,3.11596359458164e-05,0.00229880126091413,2.49623619251661,"seed123_n300"
47,92914.9019338769,"Successful completion",0.00313654730705549,0.874461868553666,0.628991650548451,2.41973452579389,0.00803782835006895,0.15176056631985,4.15149781806173e-05,0.00210694737562601,2.49729917255707,"seed123_n300"
