"pE","beta","alpha","k","a","omega","p","eta","mu"
-0.907178646940327,-0.882299759883543,-1.16792808172324,2.49370324152725,2.15012296195428,1.16818592659952,-2.47496361386162,-9.67256397942311,-4.90935533815898
1.31473932289762,-2.26555945996759,0.783762032318331,0.170807552827127,2.18310847296419,1.34189854583085,-0.310775322377718,-10.2504207368006,-5.09382510908144
-0.368196337469141,-0.887639251039646,-1.23207520155504,1.75326865010964,1.58737939957103,-0.104929221528679,-2.11976860779436,-10.0666356419308,-6.0973732385444
2.02131973894043,-0.937115416335538,-0.760698709064187,0.337416662844611,1.97142724251526,-0.670571134982922,-0.685941013653024,-9.24714784725426,-4.68351848518481
2.75985085745244,-1.04397428186572,-1.55765207789491,0.700612888847252,1.58248918050262,0.478076481423873,-0.805368930049689,-9.59446746447574,-4.8168083933146
-3.042175148295,-1.22975454217655,1.39525333320159,0.0452661137455204,2.2912297250872,0.13612744947185,-3.66356622060503,-9.54090836296099,-5.7654845020511
0.112540582736541,-1.81612548077817,-1.76406419864425,1.16781914252439,-0.434619040040531,0.204008846312897,-0.101288957518785,-10.9785824933626,-6.08459436973077
2.11569216342547,-2.27025142645601,1.53486763707849,2.23515461835282,0.455288249231154,-0.159623072746323,-0.889194822212609,-10.8018733640489,-5.01773824563779
0.206470431314763,-1.26945983670379,-0.703675490506218,1.51956565498409,2.06095753308768,-0.177645581307375,-0.279904584783766,-9.34201457300136,-4.9046761796566
-0.173978574387386,-1.21430152404882,-0.51437114327287,-2.56489993350596,1.69044315329273,0.23350578680696,-1.04995561173401,-9.38756373565408,-5.36602359005931
3.09856091940235,-1.36322318091523,0.531124835658115,-5.5438128900854,1.42682994318087,-0.115121569991332,-1.87413717969179,-9.53790186034163,-4.74313603522108
-0.187208221734111,-1.25223079147501,-2.23520008442832,-2.8990889915301,2.30146711729277,1.23083791414708,-0.853549345533897,-10.4794873803712,-4.99143901980876
0.742629718703916,-0.953702920649036,-3.79475935097572,1.87088096662616,0.938729555875202,0.87920866401129,-0.414690167044819,-10.7710104706787,-6.42700318878902
0.292603536483371,-2.10274480150027,4.96128335032757,0.307378151224465,1.62506648979483,-0.691672315737512,-0.642670943464438,-9.9152064731115,-9.02040051981076
-2.16514233985715,-1.41917613361218,0.338964005952689,-0.782215590970746,-0.23608724094758,-0.192180891394122,-1.15094880672248,-9.86084954601981,-4.74026360393742
2.19528131509297,-0.864825792948535,1.27632209409003,3.16423019217566,2.0963826822886,-0.192634442863806,-1.19164591526495,-10.7252109056935,-6.89964504860504
-1.11958788660898,-0.834057652179503,2.11025707868147,0.36890249948321,1.34071931826327,-1.31007371421398,-0.803833154628464,-9.48062147004855,-5.7660509735212
-3.12569955283119,-1.6342442512976,1.12473229731369,0.125802998308067,2.08216621131345,-0.28891798966853,-1.23885554705792,-12.9186182373067,-5.43438648852193
-0.71760444115853,-1.42049482209016,3.85196608332554,-0.472872143067616,0.682711097398473,-0.186905991848975,-0.840859632506047,-9.55066883632217,-5.08389798295851
3.04355934455402,-0.814740588329848,-3.07507755103192,-0.755825735462396,2.24749488387325,-0.77751532154219,-6.07059002019097,-9.38355355903808,-5.68286663411748
2.08604405014961,-0.817565142317092,2.23559681982514,1.43955838356645,1.24032153452017,0.503142599531232,-0.0100110585566283,-9.28193549467323,-5.14411845083197
0.813258360281233,-1.5216185270618,1.86175016855094,-3.12918072926447,1.65259365644742,-1.3363418411094,-1.36622015215326,-9.62262545325446,-4.78356028730059
0.577564535958998,-1.83998801319562,1.23910157322338,-0.559156314516003,0.110539141327115,0.569820968159582,-2.76984133175078,-10.519860722612,-5.69658365472322
5.15625406127195,-0.963390660913314,-0.503083040461234,1.7873084456398,2.18151837956863,-0.161814319955765,-0.262417413016482,-10.7325084186757,-5.56362762388235
0.64421568439399,-1.95529532535946,-3.12449608334696,0.837538670603851,2.25576071727064,0.569917141687038,-0.994133141218885,-9.35202665289136,-5.10048195200652
0.888257583659941,-2.17603077817009,-0.556269423955386,0.774467326702818,-0.906816674747752,-1.33480949279939,-0.237920663531284,-12.9165038546619,-5.30191246829039
0.176722600448547,-0.693623671707468,-0.975672640106608,-0.627775740831504,1.59658808315502,-1.22425802710652,-3.95655140568175,-9.37274285521881,-6.81802967293942
0.381115088097778,-2.17199621101294,1.73827228616856,0.219605652242281,0.815646653283148,-0.196434714306656,-0.238252736918385,-9.85667929576559,-4.76399559499715
-0.899468479268436,-1.44665383569922,-0.564955142223474,-1.8383747827333,2.15036627507898,0.348707027080425,-0.570268661635837,-10.0416429555861,-5.40845970046046
-1.75742090707996,-0.763514915332428,-0.826064796619692,1.29464020442482,1.66947079932653,-0.699711156081356,-0.468779550448849,-9.28142669871309,-4.88481912366446
3.25981581040963,-1.05873571029876,1.1479448728547,2.05908677366263,-3.07085443366445,0.847610221323883,-0.274523771964369,-11.0148623143484,-4.8259188716415
2.22303466812657,-1.53937962446076,1.69464940935546,-1.36088882261536,1.02086722887723,0.476243278356763,-1.0966343247092,-10.1810800545416,-5.54107374728481
0.80341860436079,-0.928568391818208,-0.168712806767399,1.21183212244766,1.17927985664565,1.04324004579174,-0.148544491955207,-11.1905025834349,-8.81491928529675
