"Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","gamma"
56912.2279310156,"Successful completion",0.000936526814306789,0.848803874160232,0.99782430064731,4.44934979405904,0.0725526257928814,0.0191794309972264,3.21070126026909e-05,0.00227935662409081,0.08
55839.9715957699,"Successful completion",0.000858159030457867,0.999872169776472,0.999737917201094,4.09117529866152,0.0786733006406168,0.0194146395666041,3.19316373347237e-05,0.00227944026274727,0.09
55008.735752261,"Successful completion",0.000788945290847561,0.974799379714298,0.993751751199037,3.77742501942083,0.0804238161784662,0.0182706464674754,3.19619375247326e-05,0.00228006383623309,0.1
54363.2120382647,"Successful completion",0.000705241510332751,0.990064905687838,0.996243684946325,3.58182131400539,0.0827550672536591,0.0168583906255179,3.19864759910701e-05,0.00228098484163678,0.11
53841.0944050432,"Successful completion",0.000655339618609814,0.999999904037684,0.999999943838737,3.4303092721421,0.0881052865435973,0.0178583021208186,3.18566082524543e-05,0.00228145417136862,0.12
