"Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","SN0"
60007.639302319,"Successful completion",0.000806745866401169,0.975093816422982,0.998162317961122,8.17305029694205,0.0904880262620576,0.019006306799888,4.06266259120012e-05,0.00283884937118637,0.72
56336.3733154357,"Successful completion",0.00075673638541737,0.997607156747787,0.99997909540916,5.05387843326178,0.0846677244025563,0.0183358438376497,3.57107490824184e-05,0.00253597371352119,0.81
55008.735752261,"Successful completion",0.000788945290847561,0.974799379714298,0.993751751199037,3.77742501942083,0.0804238161784662,0.0182706464674754,3.19619375247326e-05,0.00228006383623309,0.9
54412.4414016458,"Successful completion",0.000835350191846896,0.978730280372559,0.988877599801775,3.07673490542923,0.0739853538644702,0.0185468244520703,2.89330726874729e-05,0.00207658715582482,0.99
