"Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","kappa"
56450.1345387262,"Successful completion",0.000892906086039517,0.949623632415913,0.999651279717042,4.15504039612446,0.0851617990408878,0.0176424183774111,3.1924553157897e-05,0.00228162869550159,0.16
55715.7262392934,"Successful completion",0.000807673142029068,0.827783930417232,0.985000582241949,3.92011087198568,0.0798719490659237,0.0183729068512285,3.21071365977407e-05,0.00227944732697465,0.18
55008.735752261,"Successful completion",0.000788945290847561,0.974799379714298,0.993751751199037,3.77742501942083,0.0804238161784662,0.0182706464674754,3.19619375247326e-05,0.00228006383623309,0.2
54473.1240304062,"Successful completion",0.000718695168493059,0.988267842739062,0.999268614311316,3.67964170547681,0.0816267489366033,0.0178540745853547,3.18451543037736e-05,0.0022817678228664,0.22
54027.183160329,"Successful completion",0.000695729298401292,0.924264523879902,0.999953214947259,3.59001635477242,0.0759280473728328,0.0189523053768547,3.20852942776677e-05,0.00227934358465517,0.24
