"Value","Convergence","fixed_parm_value","fixed_parm","var","SNf","estim_parm","estimates"
56450.1345387262,"Successful completion",0.16,"kappa","0.16 (-20%)",0.715315235480124,"k",0.999651279717042
55715.7262392934,"Successful completion",0.18,"kappa","0.18 (-10%)",0.694048968019915,"k",0.985000582241949
55008.735752261,"Successful completion",0.2,"kappa","0.2",0.682612161827813,"k",0.993751751199037
54473.1240304062,"Successful completion",0.22,"kappa","0.22 (+10%)",0.672661028712675,"k",0.999268614311316
54027.183160329,"Successful completion",0.24,"kappa","0.24 (+20%)",0.653313810759501,"k",0.999953214947259
56912.2279310156,"Successful completion",0.08,"gamma","0.08 (-20%)",0.72775167853323,"k",0.99782430064731
55839.9715957699,"Successful completion",0.09,"gamma","0.09 (-10%)",0.70990415005109,"k",0.999737917201094
55008.735752261,"Successful completion",0.1,"gamma","0.1",0.682612161827813,"k",0.993751751199037
54363.2120382647,"Successful completion",0.11,"gamma","0.11 (+10%)",0.658983841343032,"k",0.996243684946325
53841.0944050432,"Successful completion",0.12,"gamma","0.12 (+20%)",0.641068964767718,"k",0.999999943838737
60007.639302319,"Successful completion",0.72,"SN0","0.72 (-20%)",0.621916308234562,"k",0.998162317961122
56336.3733154357,"Successful completion",0.81,"SN0","0.81 (-10%)",0.664499983179691,"k",0.99997909540916
55008.735752261,"Successful completion",0.9,"SN0","0.9",0.682612161827813,"k",0.993751751199037
54412.4414016458,"Successful completion",0.99,"SN0","0.99 (+10%)",0.680273505794295,"k",0.988877599801775
59976.1804701163,"Successful completion",2,"R0","2 (-20%)",0.77639811110209,"a",8.39766232926901
56340.7182894606,"Successful completion",2.25,"R0","2.25 (-10%)",0.736761787411695,"a",4.99569367033765
55008.735752261,"Successful completion",2.5,"R0","2.5",0.682612161827813,"a",3.77742501942083
54329.8565963373,"Successful completion",2.75,"R0","2.75 (+10%)",0.618975190052091,"a",3.10040958365124
54003.6548814015,"Successful completion",3,"R0","3 (+20%)",0.550238089633927,"a",2.63712080127131
56450.1345387262,"Successful completion",0.16,"kappa","0.16 (-20%)",0.715315235480124,"a",4.15504039612446
55715.7262392934,"Successful completion",0.18,"kappa","0.18 (-10%)",0.694048968019915,"a",3.92011087198568
55008.735752261,"Successful completion",0.2,"kappa","0.2",0.682612161827813,"a",3.77742501942083
54473.1240304062,"Successful completion",0.22,"kappa","0.22 (+10%)",0.672661028712675,"a",3.67964170547681
54027.183160329,"Successful completion",0.24,"kappa","0.24 (+20%)",0.653313810759501,"a",3.59001635477242
56912.2279310156,"Successful completion",0.08,"gamma","0.08 (-20%)",0.72775167853323,"a",4.44934979405904
55839.9715957699,"Successful completion",0.09,"gamma","0.09 (-10%)",0.70990415005109,"a",4.09117529866152
55008.735752261,"Successful completion",0.1,"gamma","0.1",0.682612161827813,"a",3.77742501942083
54363.2120382647,"Successful completion",0.11,"gamma","0.11 (+10%)",0.658983841343032,"a",3.58182131400539
53841.0944050432,"Successful completion",0.12,"gamma","0.12 (+20%)",0.641068964767718,"a",3.4303092721421
60007.639302319,"Successful completion",0.72,"SN0","0.72 (-20%)",0.621916308234562,"a",8.17305029694205
56336.3733154357,"Successful completion",0.81,"SN0","0.81 (-10%)",0.664499983179691,"a",5.05387843326178
55008.735752261,"Successful completion",0.9,"SN0","0.9",0.682612161827813,"a",3.77742501942083
54412.4414016458,"Successful completion",0.99,"SN0","0.99 (+10%)",0.680273505794295,"a",3.07673490542923
59976.1804701163,"Successful completion",2,"R0","2 (-20%)",0.77639811110209,"omega",0.07062298778841
56340.7182894606,"Successful completion",2.25,"R0","2.25 (-10%)",0.736761787411695,"omega",0.075568841978865
55008.735752261,"Successful completion",2.5,"R0","2.5",0.682612161827813,"omega",0.0804238161784662
54329.8565963373,"Successful completion",2.75,"R0","2.75 (+10%)",0.618975190052091,"omega",0.0817864799307673
54003.6548814015,"Successful completion",3,"R0","3 (+20%)",0.550238089633927,"omega",0.0824322948805826
56450.1345387262,"Successful completion",0.16,"kappa","0.16 (-20%)",0.715315235480124,"omega",0.0851617990408878
55715.7262392934,"Successful completion",0.18,"kappa","0.18 (-10%)",0.694048968019915,"omega",0.0798719490659237
55008.735752261,"Successful completion",0.2,"kappa","0.2",0.682612161827813,"omega",0.0804238161784662
54473.1240304062,"Successful completion",0.22,"kappa","0.22 (+10%)",0.672661028712675,"omega",0.0816267489366033
54027.183160329,"Successful completion",0.24,"kappa","0.24 (+20%)",0.653313810759501,"omega",0.0759280473728328
56912.2279310156,"Successful completion",0.08,"gamma","0.08 (-20%)",0.72775167853323,"omega",0.0725526257928814
55839.9715957699,"Successful completion",0.09,"gamma","0.09 (-10%)",0.70990415005109,"omega",0.0786733006406168
55008.735752261,"Successful completion",0.1,"gamma","0.1",0.682612161827813,"omega",0.0804238161784662
54363.2120382647,"Successful completion",0.11,"gamma","0.11 (+10%)",0.658983841343032,"omega",0.0827550672536591
53841.0944050432,"Successful completion",0.12,"gamma","0.12 (+20%)",0.641068964767718,"omega",0.0881052865435973
60007.639302319,"Successful completion",0.72,"SN0","0.72 (-20%)",0.621916308234562,"omega",0.0904880262620576
56336.3733154357,"Successful completion",0.81,"SN0","0.81 (-10%)",0.664499983179691,"omega",0.0846677244025563
55008.735752261,"Successful completion",0.9,"SN0","0.9",0.682612161827813,"omega",0.0804238161784662
54412.4414016458,"Successful completion",0.99,"SN0","0.99 (+10%)",0.680273505794295,"omega",0.0739853538644702
59976.1804701163,"Successful completion",2,"R0","2 (-20%)",0.77639811110209,"p",0.0186347760435797
56340.7182894606,"Successful completion",2.25,"R0","2.25 (-10%)",0.736761787411695,"p",0.0182294939190521
55008.735752261,"Successful completion",2.5,"R0","2.5",0.682612161827813,"p",0.0182706464674754
54329.8565963373,"Successful completion",2.75,"R0","2.75 (+10%)",0.618975190052091,"p",0.0185775408226159
54003.6548814015,"Successful completion",3,"R0","3 (+20%)",0.550238089633927,"p",0.0175072210922442
56450.1345387262,"Successful completion",0.16,"kappa","0.16 (-20%)",0.715315235480124,"p",0.0176424183774111
55715.7262392934,"Successful completion",0.18,"kappa","0.18 (-10%)",0.694048968019915,"p",0.0183729068512285
55008.735752261,"Successful completion",0.2,"kappa","0.2",0.682612161827813,"p",0.0182706464674754
54473.1240304062,"Successful completion",0.22,"kappa","0.22 (+10%)",0.672661028712675,"p",0.0178540745853547
54027.183160329,"Successful completion",0.24,"kappa","0.24 (+20%)",0.653313810759501,"p",0.0189523053768547
56912.2279310156,"Successful completion",0.08,"gamma","0.08 (-20%)",0.72775167853323,"p",0.0191794309972264
55839.9715957699,"Successful completion",0.09,"gamma","0.09 (-10%)",0.70990415005109,"p",0.0194146395666041
55008.735752261,"Successful completion",0.1,"gamma","0.1",0.682612161827813,"p",0.0182706464674754
54363.2120382647,"Successful completion",0.11,"gamma","0.11 (+10%)",0.658983841343032,"p",0.0168583906255179
53841.0944050432,"Successful completion",0.12,"gamma","0.12 (+20%)",0.641068964767718,"p",0.0178583021208186
60007.639302319,"Successful completion",0.72,"SN0","0.72 (-20%)",0.621916308234562,"p",0.019006306799888
56336.3733154357,"Successful completion",0.81,"SN0","0.81 (-10%)",0.664499983179691,"p",0.0183358438376497
55008.735752261,"Successful completion",0.9,"SN0","0.9",0.682612161827813,"p",0.0182706464674754
54412.4414016458,"Successful completion",0.99,"SN0","0.99 (+10%)",0.680273505794295,"p",0.0185468244520703
59976.1804701163,"Successful completion",2,"R0","2 (-20%)",0.77639811110209,"eta",3.26254146937909e-05
56340.7182894606,"Successful completion",2.25,"R0","2.25 (-10%)",0.736761787411695,"eta",3.22868315564526e-05
55008.735752261,"Successful completion",2.5,"R0","2.5",0.682612161827813,"eta",3.19619375247326e-05
54329.8565963373,"Successful completion",2.75,"R0","2.75 (+10%)",0.618975190052091,"eta",3.19279606464041e-05
54003.6548814015,"Successful completion",3,"R0","3 (+20%)",0.550238089633927,"eta",3.1959142548089e-05
56450.1345387262,"Successful completion",0.16,"kappa","0.16 (-20%)",0.715315235480124,"eta",3.1924553157897e-05
55715.7262392934,"Successful completion",0.18,"kappa","0.18 (-10%)",0.694048968019915,"eta",3.21071365977407e-05
55008.735752261,"Successful completion",0.2,"kappa","0.2",0.682612161827813,"eta",3.19619375247326e-05
54473.1240304062,"Successful completion",0.22,"kappa","0.22 (+10%)",0.672661028712675,"eta",3.18451543037736e-05
54027.183160329,"Successful completion",0.24,"kappa","0.24 (+20%)",0.653313810759501,"eta",3.20852942776677e-05
56912.2279310156,"Successful completion",0.08,"gamma","0.08 (-20%)",0.72775167853323,"eta",3.21070126026909e-05
55839.9715957699,"Successful completion",0.09,"gamma","0.09 (-10%)",0.70990415005109,"eta",3.19316373347237e-05
55008.735752261,"Successful completion",0.1,"gamma","0.1",0.682612161827813,"eta",3.19619375247326e-05
54363.2120382647,"Successful completion",0.11,"gamma","0.11 (+10%)",0.658983841343032,"eta",3.19864759910701e-05
53841.0944050432,"Successful completion",0.12,"gamma","0.12 (+20%)",0.641068964767718,"eta",3.18566082524543e-05
60007.639302319,"Successful completion",0.72,"SN0","0.72 (-20%)",0.621916308234562,"eta",4.06266259120012e-05
56336.3733154357,"Successful completion",0.81,"SN0","0.81 (-10%)",0.664499983179691,"eta",3.57107490824184e-05
55008.735752261,"Successful completion",0.9,"SN0","0.9",0.682612161827813,"eta",3.19619375247326e-05
54412.4414016458,"Successful completion",0.99,"SN0","0.99 (+10%)",0.680273505794295,"eta",2.89330726874729e-05
59976.1804701163,"Successful completion",2,"R0","2 (-20%)",0.77639811110209,"mu",0.00226696103955166
56340.7182894606,"Successful completion",2.25,"R0","2.25 (-10%)",0.736761787411695,"mu",0.00227543616634187
55008.735752261,"Successful completion",2.5,"R0","2.5",0.682612161827813,"mu",0.00228006383623309
54329.8565963373,"Successful completion",2.75,"R0","2.75 (+10%)",0.618975190052091,"mu",0.00228295722136879
54003.6548814015,"Successful completion",3,"R0","3 (+20%)",0.550238089633927,"mu",0.00227631468673584
56450.1345387262,"Successful completion",0.16,"kappa","0.16 (-20%)",0.715315235480124,"mu",0.00228162869550159
55715.7262392934,"Successful completion",0.18,"kappa","0.18 (-10%)",0.694048968019915,"mu",0.00227944732697465
55008.735752261,"Successful completion",0.2,"kappa","0.2",0.682612161827813,"mu",0.00228006383623309
54473.1240304062,"Successful completion",0.22,"kappa","0.22 (+10%)",0.672661028712675,"mu",0.0022817678228664
54027.183160329,"Successful completion",0.24,"kappa","0.24 (+20%)",0.653313810759501,"mu",0.00227934358465517
56912.2279310156,"Successful completion",0.08,"gamma","0.08 (-20%)",0.72775167853323,"mu",0.00227935662409081
55839.9715957699,"Successful completion",0.09,"gamma","0.09 (-10%)",0.70990415005109,"mu",0.00227944026274727
55008.735752261,"Successful completion",0.1,"gamma","0.1",0.682612161827813,"mu",0.00228006383623309
54363.2120382647,"Successful completion",0.11,"gamma","0.11 (+10%)",0.658983841343032,"mu",0.00228098484163678
53841.0944050432,"Successful completion",0.12,"gamma","0.12 (+20%)",0.641068964767718,"mu",0.00228145417136862
60007.639302319,"Successful completion",0.72,"SN0","0.72 (-20%)",0.621916308234562,"mu",0.00283884937118637
56336.3733154357,"Successful completion",0.81,"SN0","0.81 (-10%)",0.664499983179691,"mu",0.00253597371352119
55008.735752261,"Successful completion",0.9,"SN0","0.9",0.682612161827813,"mu",0.00228006383623309
54412.4414016458,"Successful completion",0.99,"SN0","0.99 (+10%)",0.680273505794295,"mu",0.00207658715582482
