"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
39,93161.1971540139,"Successful completion",0.00175636436711006,0.225533971369538,0.704529078783477,2.03679753010039,0.00488527593702012,0.177710230057969,4.20950871003875e-05,0.0021060140912607,2.49879193350973
40,93635.7193566979,"Successful completion",0.00250644551366193,0.990576214118751,0.329745126867622,0.266952041522205,0.00314061427177223,0.19788814103243,4.19532137360064e-05,0.00211903346755172,2.49860312490762
41,70139.0746169654,"Successful completion",0.00124711910910511,0.99999997133428,0.503762473031277,1.12960819084776,0.0512250143108937,0.0146484612081076,3.41608990916566e-05,0.00223828443869812,2.49831167282659
42,87044.0700135581,"Successful completion",0.00220707094392464,0.704656393287756,0.392743831318193,0.640415858590331,0.0170353861423496,0.124225887121887,3.90527128091655e-05,0.00214161366618382,2.49546021432329
43,54159.8772237975,"Successful completion",0.000100302505305848,0.371550695846099,0.996202696491252,3.19147006101939,0.0707155477155826,0.0193372317352005,3.23191888618648e-05,0.00227543326103874,2.49750148442553
44,89422.2326473827,"Successful completion",0.00193039018493026,0.384904389408569,0.963510346038347,2.95525125545284,0.00691921934485738,0.181913974761895,4.09438872549271e-05,0.00212124373076942,2.49767078570587
45,56181.3772270487,"Successful completion",0.00033012901341237,0.326217116644141,0.737925739595657,2.3981838687941,0.0483108948476867,0.0290288557724311,3.36509096613691e-05,0.00225156842895499,2.49756872700658
46,74689.8793603374,"Successful completion",0.0008892820029928,0.18335239156527,0.881916225345033,2.62089785093612,0.043106075147933,0.0558894277174411,3.30693051961873e-05,0.0022826311260661,2.49726196094112
47,212009.263070491,"Successful completion",0.00999192319618909,0.971008648287756,0.96471002557854,2.2488233189258,0.00446903603943795,0.125361813583991,4.63438355102318e-05,0.00207400544390277,2.49874362727047
48,87572.7572877153,"Successful completion",0.000175917799013921,0.0875538758569921,0.932525194675321,2.88928139992115,0.00890519933008578,0.195527059817752,4.02635888664727e-05,0.00213892415707358,2.50061879853322
49,90561.4038013989,"Successful completion",0.00218641366106676,0.848965326519272,0.985875986353461,3.05647812289847,0.00659070467688249,0.193560990173082,4.08224456735394e-05,0.00212560972258285,2.4971864058338
50,91138.9788578915,"Successful completion",0.00225032969355362,0.975760583021108,0.999114795708051,3.08735627343767,0.00609342573278855,0.199978216256096,4.10398331232956e-05,0.00212313552102182,2.49726582476619
51,68767.4268777012,"Successful completion",5.98224346148249e-05,0.726451513932807,0.755823750324628,2.32757674291874,0.98831019790406,0.0140040098062213,2.69529399557681e-05,0.00238251598395333,2.47016221903778
52,72731.8655827601,"Successful completion",7.43705449378049e-05,0.342338502250774,0.694862469409833,2.10220559800504,0.702164708384218,0.0236992351183922,2.78187326653136e-05,0.00234295105202496,2.47055035872946
53,87790.5266373779,"Successful completion",0.0009158967319824,0.152862860904989,0.880840300823048,2.80290060992273,0.00941622390014934,0.182166075214272,3.96521805113079e-05,0.00215110240664119,2.49851702794716
54,89580.873785809,"Successful completion",0.00243596668548457,0.976810414930186,0.412230962122717,0.833286590923579,0.00684819689757015,0.177990489535575,4.08126556523574e-05,0.00212929593926469,2.49726467797109
55,95960.2935970264,"Successful completion",0.00340288580186224,0.984988825797814,0.581210526395265,1.50567985344874,0.00566714077929325,0.188530796279361,4.16635590217002e-05,0.00212539522371572,2.49760010193696
56,90219.3739916215,"Successful completion",0.00222306935602782,0.911220175385479,0.913480028511297,2.86356669381764,0.00682683404370146,0.190583702218698,4.08640781313011e-05,0.00212168424751205,2.49710425356959
57,52464.4159136841,"Successful completion",0.0004570775448911,0.901026806812467,0.995032044421801,3.17689290328591,0.0824902318167283,0.018533474482595,3.14688656602339e-05,0.00229081726776238,2.49660211469411
58,85735.7380740012,"Successful completion",0.000130143305653322,0.0563570381123807,0.832952748758782,2.60683484576096,0.0158111003092544,0.199894436391731,3.85327309837022e-05,0.00216537384392835,2.5061188367418
59,69502.0945958965,"Successful completion",0.00111927679321933,0.388901518695746,0.714625605547018,2.2911228239766,0.0269308692085163,0.0722561855784733,3.5848319829841e-05,0.00222175302174995,2.4963861044485
60,63769.4080815942,"Successful completion",0.000372643956952682,0.999615233079408,0.600498829748312,1.78856706836888,0.168240543459529,0.0247632190105839,2.9328114860005e-05,0.002320762334158,2.49062650170174
61,52598.6787708532,"Successful completion",0.000527211431535994,0.999855143508173,0.960283441083628,3.06666828781582,0.0756869374592091,0.0182228286385268,3.18870818798905e-05,0.00227950840114848,2.49689678224898
62,67660.230779942,"Successful completion",0.000154359449642098,0.0917607848958547,0.463357022849545,1.06480423020104,0.054926344802678,0.0618309510924871,3.35399034851203e-05,0.00225404381250884,2.50076235167005
63,77604.2788112154,"Successful completion",0.00154963167071528,0.792055307326503,0.690243652703777,2.20599432283639,0.0115087190306656,0.0663277992237814,3.97491144504214e-05,0.00213902097486306,2.49833256897138
64,56416.5045421346,"Successful completion",1.39907497532507e-05,0.238087289836564,0.774006034836949,2.47115241446977,0.0707424725677455,0.0236525555976266,3.20523778664573e-05,0.00228025579741485,2.49757386026707
65,85219.928410587,"Successful completion",0.00214490932616936,0.746266978900071,0.549606265184127,1.53747244406941,0.0126908617332378,0.137138389894124,3.93501940420433e-05,0.00215220729455096,2.49623202590506
66,198909.097154203,"Successful completion",0.00957234364944628,0.856889141869242,0.593929839025786,1.05967385692751,0.00522853848122894,0.119141452301209,4.60254811715103e-05,0.00207665630374566,2.49862440419593
67,52744.4354036863,"Successful completion",0.000572756707405913,0.861683341364171,0.996666779980232,3.17301480062255,0.0651793292999576,0.0213467800100415,3.24805887294007e-05,0.00226722034949546,2.49692525551833
68,63294.6910339262,"Successful completion",8.29630034326813e-05,0.530769113069906,0.878064738913271,2.73423484610197,0.44927192916358,0.0141274277682818,2.71886453773416e-05,0.00238570113325748,2.48712191454902
69,53636.4355948163,"Successful completion",0.000275950785077962,0.367536582703782,0.963000022443154,3.08452660886577,0.0642186898760339,0.0248164974118255,3.25809635444642e-05,0.00226130466906126,2.49709982277469
70,89622.6336785863,"Successful completion",0.00119036450084073,0.175688749865332,0.983198905186867,3.06266660936006,0.0086059968062657,0.1984127023597,4.02725657660898e-05,0.00213265708044081,2.49816093092721
71,61341.8777635069,"Successful completion",0.00100781884151296,0.832571441753794,0.610928984452124,1.95495298708805,0.0338280813969297,0.0409946602127886,3.50807594989122e-05,0.00222446826883862,2.49694948516735
72,89025.85183573,"Successful completion",0.00202800722046979,0.98575441347675,0.481795460552577,1.2582663522325,0.0137006437266602,0.156281737152144,3.85156035754625e-05,0.00218655817714381,2.49519012481749
73,57570.7179075839,"Successful completion",0.000281136325075117,0.699934340054297,0.57698369635643,1.83991469634368,0.0676920052228604,0.0142496945511827,3.21222503013047e-05,0.00228429255795914,2.49793305289253
74,817156.693134501,"Successful completion",2.23913146076401e-05,0.999743521229397,0.012379837219795,26.8232153676646,0.0465654895904903,0.199863188011265,3.38080030674455e-05,0.00223739343857028,2.47906046069564
75,72429.0201223138,"Successful completion",2.27799519087671e-05,0.0762334197054898,0.313104433348618,0.122184770138103,0.0390714226592083,0.0789068810329128,3.45849183595199e-05,0.00223789528119443,2.50240289838641
76,72817.255657107,"Successful completion",7.7662346111355e-06,0.389806559319561,0.988292016497123,3.19900183296885,0.0188126878258383,0.0291940953829315,3.79638615951505e-05,0.00217709947348788,2.49897918992363
77,95879.4504779822,"Successful completion",0.00175623809110507,0.567943127188681,0.604921001470204,1.81238575542587,0.0205088018616857,0.174562665714113,3.73844473060014e-05,0.00219054079544777,2.49262571551214
78,52509.0225092699,"Successful completion",0.000478354308272853,0.852720860398609,0.979494123135106,3.12560484892643,0.0763287475621133,0.0184444413655863,3.18256021091951e-05,0.00227984614184078,2.49689314692526
79,75896.8478192008,"Successful completion",0.000154321934044694,0.999591530410086,0.374039017100582,0.525575125338211,0.41186105012092,0.0119105955284226,2.76858339401067e-05,0.00236192796929862,2.48896310278338
80,76193.8321861029,"Successful completion",0.000401613642227475,0.0793808308493189,0.997232280969845,3.03951196501625,0.0313429764841317,0.114931910732796,3.64926611484706e-05,0.00218237397820151,2.50233924868278
81,91935.3964835382,"Successful completion",0.00251412599215126,0.999818321124273,0.294254917414785,0.000161801516254608,0.00597554016906697,0.19999988763061,4.11586477919098e-05,0.0021198654521197,2.49731106272603
82,91025.9782491482,"Successful completion",0.00248275148369395,0.981528763303654,0.421835010704982,0.894061445655381,0.0056921657015973,0.199997095350211,4.12156667953248e-05,0.00212264481852072,2.49744391855635
83,55331.560690825,"Successful completion",0.000494351355554251,0.419725472282135,0.863513035623302,2.81062589454427,0.0560760560527711,0.0318106656608007,3.31626304162784e-05,0.00225824488256767,2.49660294844393
84,81639.71936167,"Successful completion",0.00173789895965176,0.996408828220264,0.909041368871526,2.92159053538907,0.0142592975889731,0.121033601139186,3.85313532269808e-05,0.0021672026640746,2.49611838323605
85,89185.5448013782,"Successful completion",0.00169345918631369,0.327375693740741,0.97406365239175,3.0366929514639,0.00975908648510652,0.182206574175045,3.98758040307262e-05,0.00214145235747409,2.49691247257824
86,217993.61917101,"Successful completion",0.00983357658137996,0.705666799246517,0.987940248073215,2.28655933133916,0.00542437066574,0.102971523030784,4.60570330775034e-05,0.00207997152525981,2.4988014929681
87,58521.0001112081,"Successful completion",0.00107056080533617,0.999998180170826,0.920719368099898,2.90528996011394,0.0392591681223445,0.0340767017385187,3.4395797375076e-05,0.00223853397491821,2.49698989894279
88,68815.9900845353,"Successful completion",0.000119529914485297,0.991985526777347,0.661314899701005,1.99208648761004,0.56239626176535,0.0153468555494418,2.68422943740609e-05,0.00239723509769769,2.4805976510447
89,52703.3251849685,"Successful completion",0.000509770411865503,0.98974223190125,0.928073841626231,2.99262685949477,0.0761479270707431,0.0180595792699613,3.17980474438715e-05,0.00228310402401622,2.49690936423797
